text,label
Click here to claim your reward,spam
Meeting scheduled at 10 AM tomorrow,ham
"Limited time offer, buy now",spam
Please find the attached report,ham
Don’t forget the team outing next Friday,ham
Annual performance review scheduled,ham
"Limited time offer, buy now",spam
Let’s connect for the project discussion,ham
Meet singles in your area,spam
Team lunch at 1 PM today,ham
Meet singles in your area,spam
Annual performance review scheduled,ham
Review the PR before 5 PM,ham
Here’s the summary of our last meeting,ham
"Your loan is approved, apply now",spam
Annual performance review scheduled,ham
Reminder: Submit your timesheet,ham
Reminder: Submit your timesheet,ham
Annual performance review scheduled,ham
Don’t forget the team outing next Friday,ham
Annual performance review scheduled,ham
Meet singles in your area,spam
Earn money from home easily,spam
Win a FREE iPhone now,spam
Win a FREE iPhone now,spam
Please find the attached report,ham
"Your loan is approved, apply now",spam
Annual performance review scheduled,ham
Earn money from home easily,spam
Click here to claim your reward,spam
100% guaranteed weight loss,spam
Invoice for your last month purchase,ham
Earn money from home easily,spam
Let’s connect for the project discussion,ham
"Your loan is approved, apply now",spam
"Limited time offer, buy now",spam
Don’t forget the team outing next Friday,ham
"Congratulations, you’ve won a lottery",spam
Invoice for your last month purchase,ham
Click here to claim your reward,spam
Annual performance review scheduled,ham
Get rich quick with this one trick,spam
Get rich quick with this one trick,spam
Earn money from home easily,spam
Invoice for your last month purchase,ham
Get rich quick with this one trick,spam
Team lunch at 1 PM today,ham
Meet singles in your area,spam
Review the PR before 5 PM,ham
"Your loan is approved, apply now",spam
Team lunch at 1 PM today,ham
Get rich quick with this one trick,spam
Review the PR before 5 PM,ham
100% guaranteed weight loss,spam
Invoice for your last month purchase,ham
Urgent: Your account has been suspended,spam
"Limited time offer, buy now",spam
Team lunch at 1 PM today,ham
Win a FREE iPhone now,spam
Review the PR before 5 PM,ham
100% guaranteed weight loss,spam
Reminder: Submit your timesheet,ham
Meeting scheduled at 10 AM tomorrow,ham
Invoice for your last month purchase,ham
Urgent: Your account has been suspended,spam
Team lunch at 1 PM today,ham
Please find the attached report,ham
"Your loan is approved, apply now",spam
Review the PR before 5 PM,ham
100% guaranteed weight loss,spam
Annual performance review scheduled,ham
Get rich quick with this one trick,spam
Here’s the summary of our last meeting,ham
"Congratulations, you’ve won a lottery",spam
Here’s the summary of our last meeting,ham
Earn money from home easily,spam
Team lunch at 1 PM today,ham
Reminder: Submit your timesheet,ham
100% guaranteed weight loss,spam
Meeting scheduled at 10 AM tomorrow,ham
Urgent: Your account has been suspended,spam
"Your loan is approved, apply now",spam
100% guaranteed weight loss,spam
Let’s connect for the project discussion,ham
Annual performance review scheduled,ham
Annual performance review scheduled,ham
Click here to claim your reward,spam
Earn money from home easily,spam
Here’s the summary of our last meeting,ham
"Congratulations, you’ve won a lottery",spam
Here’s the summary of our last meeting,ham
"Limited time offer, buy now",spam
Win a FREE iPhone now,spam
Annual performance review scheduled,ham
Click here to claim your reward,spam
Earn money from home easily,spam
Let’s connect for the project discussion,ham
Review the PR before 5 PM,ham
Let’s connect for the project discussion,ham
Urgent: Your account has been suspended,spam
Urgent: Your account has been suspended,spam
Click here to claim your reward,spam
Please find the attached report,ham
Invoice for your last month purchase,ham
Meet singles in your area,spam
Let’s connect for the project discussion,ham
"Limited time offer, buy now",spam
Invoice for your last month purchase,ham
Annual performance review scheduled,ham
Meet singles in your area,spam
Earn money from home easily,spam
Invoice for your last month purchase,ham
Team lunch at 1 PM today,ham
Don’t forget the team outing next Friday,ham
Annual performance review scheduled,ham
Please find the attached report,ham
Let’s connect for the project discussion,ham
Team lunch at 1 PM today,ham
Don’t forget the team outing next Friday,ham
Here’s the summary of our last meeting,ham
Urgent: Your account has been suspended,spam
Meet singles in your area,spam
Invoice for your last month purchase,ham
Reminder: Submit your timesheet,ham
Annual performance review scheduled,ham
Team lunch at 1 PM today,ham
Meet singles in your area,spam
Click here to claim your reward,spam
Meet singles in your area,spam
Team lunch at 1 PM today,ham
Win a FREE iPhone now,spam
Meet singles in your area,spam
Reminder: Submit your timesheet,ham
Team lunch at 1 PM today,ham
Urgent: Your account has been suspended,spam
Team lunch at 1 PM today,ham
Let’s connect for the project discussion,ham
Please find the attached report,ham
Invoice for your last month purchase,ham
"Congratulations, you’ve won a lottery",spam
Meeting scheduled at 10 AM tomorrow,ham
Let’s connect for the project discussion,ham
Please find the attached report,ham
100% guaranteed weight loss,spam
